date,window_start,window_end,n_obs_window,realized_return,realized_loss,historical_var,parametric_var,monte_carlo_var,historical_es,parametric_es,monte_carlo_es,monte_carlo_seed,expected_tail_observations,sparse_tail,historical_exception,parametric_exception,monte_carlo_exception
2015-12-31,2015-01-05,2015-12-30,250,-0.010053998166500508,10053.998166500507,27908.426194944906,22592.635215944207,22529.809857061646,34628.674572869495,25896.898018077583,25850.992228302188,1735963,2.5,True,False,False,False
2016-01-04,2015-01-06,2015-12-31,250,-0.014077652156976253,14077.652156976254,27908.426194944906,22448.132057575942,22427.521265894084,34628.674572869495,25736.106835294082,25665.15740737851,1735967,2.5,True,False,False,False
2016-01-05,2015-01-07,2016-01-04,250,0.0016897923210349231,-1689.7923210349231,27908.426194944906,22519.33613191238,22510.42260343295,34628.674572869495,25814.994206496805,25823.365250823103,1735968,2.5,True,False,False,False
2016-01-06,2015-01-08,2016-01-05,250,-0.012694269359720269,12694.269359720269,27908.426194944906,22490.571485349104,22418.131225059133,34628.674572869495,25775.808367648908,25776.094768899235,1735969,2.5,True,False,False,False
2016-01-07,2015-01-09,2016-01-06,250,-0.02428432438092418,24284.32438092418,27908.426194944906,22540.23244427381,22454.895986168503,34628.674572869495,25815.058234332282,25622.131648931165,1735970,2.5,True,False,True,True
2016-01-08,2015-01-12,2016-01-07,250,-0.011037201920239777,11037.201920239777,27908.426194944906,22856.13559749107,22957.522394913052,34628.674572869495,26167.515535546707,26069.502525774795,1735971,2.5,True,False,False,False
2016-01-11,2015-01-13,2016-01-08,250,0.0009895417628741764,-989.5417628741764,27908.426194944906,22897.081107671165,23039.025669774528,34628.674572869495,26212.57688489848,26466.261492686575,1735974,2.5,True,False,False,False
2016-01-12,2015-01-14,2016-01-11,250,0.008035882336661212,-8035.882336661212,27908.426194944906,22879.00286053435,22660.81137707769,34628.674572869495,26194.08292139584,25954.229025856137,1735975,2.5,True,False,False,False
2016-01-13,2015-01-15,2016-01-12,250,-0.0252567446814771,25256.744681477103,27908.426194944906,22837.20227993307,22857.468463702662,34628.674572869495,26154.40397569085,25980.753378314446,1735976,2.5,True,False,True,True
2016-01-14,2015-01-16,2016-01-13,250,0.0162834112198524,-16283.411219852402,27908.426194944906,23162.43685081679,23083.84121312484,34628.674572869495,26517.65978831673,26476.2119642417,1735977,2.5,True,False,False,False
2016-01-15,2015-01-20,2016-01-14,250,-0.021699825267980595,21699.825267980596,27908.426194944906,23194.754026600374,23301.869980093892,34628.674572869495,26556.58050803343,26627.372378311196,1735978,2.5,True,False,False,False
2016-01-19,2015-01-21,2016-01-15,250,0.0013299143385924225,-1329.9143385924226,27908.426194944906,23504.9980821129,23577.624474269767,34628.674572869495,26898.13131388377,26887.718908231844,1735982,2.5,True,False,False,False
2016-01-20,2015-01-22,2016-01-19,250,-0.012897662333436323,12897.662333436323,27908.426194944906,23508.058947208945,23421.62199068321,34628.674572869495,26899.47908771627,26571.456343765174,1735983,2.5,True,False,False,False
2016-01-21,2015-01-23,2016-01-20,250,0.005586466777816253,-5586.466777816253,27908.426194944906,23587.35410416956,23541.477065066258,34628.674572869495,26974.20871916724,26954.445029273455,1735984,2.5,True,False,False,False
2016-01-22,2015-01-26,2016-01-21,250,0.02030760407382691,-20307.60407382691,27908.426194944906,23546.727453947406,23549.572923608062,34628.674572869495,26934.122767041965,26928.559186920098,1735985,2.5,True,False,False,False
2016-01-25,2015-01-27,2016-01-22,250,-0.015232062719710494,15232.062719710493,27908.426194944906,23668.509064821643,23808.832664243662,34628.674572869495,27084.11313777153,27208.05073504659,1735988,2.5,True,False,False,False
2016-01-26,2015-01-28,2016-01-25,250,0.013551076715006376,-13551.076715006377,27908.426194944906,23701.71492217555,23591.976891440583,34628.674572869495,27121.017727594925,27028.203956550882,1735989,2.5,True,False,False,False
2016-01-27,2015-01-29,2016-01-26,250,-0.010943170334835058,10943.170334835058,27908.426194944906,23608.05077794986,23585.198328761628,34628.674572869495,27029.12621559946,27223.010308948295,1735990,2.5,True,False,False,False
2016-01-28,2015-01-30,2016-01-27,250,0.0051959772198540395,-5195.9772198540395,27908.426194944906,23701.835201567766,23493.98154630059,34628.674572869495,27124.834447265363,26957.02173586222,1735991,2.5,True,False,False,False
2016-01-29,2015-02-02,2016-01-28,250,0.024084710777408383,-24084.71077740838,27908.426194944906,23571.54483619653,23605.851171686758,34628.674572869495,26985.966150787266,27119.203695194516,1735992,2.5,True,False,False,False
2016-02-01,2015-02-03,2016-01-29,250,-0.0003616021638104693,361.6021638104693,27908.426194944906,23723.466745421887,23694.993827207825,34628.674572869495,27166.879420255063,26998.177994495007,1735995,2.5,True,False,False,False
2016-02-02,2015-02-04,2016-02-01,250,-0.018186285279377712,18186.285279377713,27908.426194944906,23685.905313658146,23608.91058307336,34628.674572869495,27115.27038269105,26912.701544413438,1735996,2.5,True,False,False,False
2016-02-03,2015-02-05,2016-02-02,250,0.005977078362990555,-5977.078362990555,27908.426194944906,23886.623480570917,23906.56648756921,34628.674572869495,27336.85271499562,27399.409786372224,1735997,2.5,True,False,False,False
2016-02-04,2015-02-06,2016-02-03,250,0.0015665968803684652,-1566.5968803684652,27908.426194944906,23872.19481606445,23875.70026340037,34628.674572869495,27317.9522558298,27237.98281528527,1735998,2.5,True,False,False,False
2016-02-05,2015-02-09,2016-02-04,250,-0.019233479320722228,19233.47932072223,27908.426194944906,23853.282611662446,23814.51591149933,34628.674572869495,27298.811732157857,27317.97588084864,1735999,2.5,True,False,False,False
